Round name;Boxer name;Country;Result
Round of 16; Adam Faul ;CAN;PTS
Round of 16; Víctor Bignon ;CHI;
Quarter-finals; Adam Faul ;CAN;
Quarter-finals; Gunnar Nilsson ;SWE;PTS
Round of 16; Gunnar Nilsson ;SWE;DSQ-2
Round of 16; Mohamed Jamshid Abadi ;IRI;
Semi-finals; Gunnar Nilsson ;SWE;PTS
Semi-finals; Hans Müller ;SUI;
Round of 16; Agustín Muñiz ;URU;
Round of 16; Hans Müller ;SUI;KO-2
Quarter-finals; Hans Müller ;SUI;PTS
Quarter-finals; Jack Gardner ;GBR;
Round of 16; Karl Ameisbichler ;AUT;
Round of 16; Jack Gardner ;GBR;KO-2
Final; Gunnar Nilsson ;SWE;
Final; Rafael Iglesias ;ARG;KO-2
Round of 16; Uber Baccilieri ;ITA;PTS
Round of 16; Gerry Ó Colmáin ;IRL;
Quarter-finals; Uber Baccilieri ;ITA;
Quarter-finals; Rafael Iglesias ;ARG;PTS
Round of 16; José Arturo Rubio ;ESP;
Round of 16; Rafael Iglesias ;ARG;PTS
Semi-finals; Rafael Iglesias ;ARG;PTS
Semi-finals; John Arthur ;RSA;
Round of 16; John Arthur ;RSA;RSC-1
Third place; Hans Müller ;SUI;
Round of 16; James Galli ;FRA;
Third place; John Arthur ;RSA;WO
Quarter-finals; John Arthur ;RSA;PTS
Quarter-finals; Jay Lambert ;USA;
Round of 16; Fernand Bothy ;BEL;
Round of 32; Jay Lambert ;USA;PTS
Round of 16; Jay Lambert ;USA;PTS
Round of 32; Vicente dos Santos ;BRA;
